歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
倘若你喜欢民谣 我也刚好有,617541172,亲这边建议您不要网恋,介绍：你爱听民谣，你说民谣有三：远方的姑娘，手里的吉他，南北方，听者有三：手里的香烟，心里的孤独，杯中酒。姑娘是爱情，吉他是梦想，南北方是远方，香烟是记忆，孤独是经历，酒是满满的回忆。回忆是，经历过的事，看过的书，爱过的人,94,2816069,20509,187,67
【翻唱】“網易雲傷感音樂”,1768367193,top1小零,介绍：1%的电是从100%耗下来的，太阳也不是突然下山的，雨也不是突然下的，希望你也明白。,327,8755692,60742,652,317
你是非常可爱的人， 应该遇见最好的人,48115956,杉茶先生,介绍：你是非常可爱的人真应该遇见最好的人我也希望我就是/ 王小波,57,14947758,158116,2916,1259
2022超好听的爆火歌曲推荐(持更) ,543197267,丶精神领袖V,介绍：有个歌曲希望你听不懂，有些经历希望你不必亲身体验。“我就是那种什么事都往坏处想的人 毕竟提前失望总好过突然失望”很多事情最后都不是解决了，而是算了吧,202,2203,21,0,0
先努力让自己发光，对的人才会迎着光而来,450639585,四季里的懒睡猫,介绍：想要去哪里，就迈出第一步生活需要长远的清醒和奔腾的脚步小假期的短暂放松过后希望自己依旧初心不改不将就的向前走说的浪漫些就是直奔爱与结果人生总有不期而遇的温暖和生生不息的希望愿你不会辜负自己的努力下次见面希望看到的是你成功后的喜悦,42,3756023,33491,364,668
小酒馆里的民谣,359904556,开心疗养院,介绍：民谣很文艺，可小酒馆里的酒都不便宜。就像是我们稍不努力，连情怀都养不起。,575,6585819,50313,609,97
西域天国名歌 - 放飞自我 感受天边,287163860,海峡好歌单,介绍：全面收录西北名歌、草原名歌等代表作品，每一首都感人动听，值得珍藏！,75,885530,6345,64,8
被迫营业丨用音乐治愈返工第一天,201586,原创君,介绍：金窝银窝不如戴上耳机奋战办公桌！/封面来自@咔咔虎,28,213887,810,18,13
说唱诗人｜向下扎根 向上生长,97515301,Bzstrive,介绍：说唱文化，自起源以来就裹挟着各式各样离经叛道的内容，但也存在不少清流，放眼国内的说唱圈，也游离着这样一群说唱诗人，他们的歌词，诗情画意；他们的思想，总能在审美疲劳下，给你带来一片心仪的绿荫。封面：Jony J,51,512108,3031,42,11
听完就去表白｜双向的奔赴才有意义,360346613,6D英语专八,介绍：旋律rap，甜到爆炸，可以表白的情歌rap，超好听的搭配说唱，持续收录中……,52,855941,3523,335,0
夜色渐晚｜我会永远陪着你 做你的常青树,450639585,四季里的懒睡猫,介绍：我在黄昏写上一封信载着落日余晖和银河的浪漫寄给你寄给温柔本身做你该做的事情并接受他的事与愿违我们需要努力但是也许我们努力了我们最终 依然是竹篮打水一场空但并不代表着 我们不应该努力因为如果你不努力那就一定是竹篮打水一场空,45,132512,2465,65,97
只有几十秒的歌词都是直击心灵【铃声版】,536588649,學會笑著搖頭拒絕自己喜歡的東西,介绍：不贬低别人喜欢的东西 是一种素养欣赏不来别人视若珍宝的 就该保持沉默,893,6666604,59320,865,1308
隔壁老樊 解忧邵帅 枯木逢春,596499189,Just-7ccc,介绍：愿你在我看不到的地方安然无恙，愿你的冬天永远不缺暖阳。愿你的明天不再经历雨打风霜，愿你的未来永远热泪盈眶。愿我在六十岁的时候陪你看看夕阳，愿我在想起你嘴角微微上扬。愿我在北方的冬天为你披件衣裳，愿我在一贫如洗能有你在身旁 ​​​封面 隔壁老樊感谢聆听！！！！,83,14918661,144222,1200,381
民谣｜不负春光，持续野蛮生长,1489286516,贝克克y,介绍：春光开始灿烂，就如民谣带给你满满散发的灿烂时光。民谣听的是岁月流动，歌单选择了适合春天的民谣歌曲，一起去追逐好春光吧。,46,1648106,8564,214,11
