Source,Target
98343,141493
98343,58736
98343,140703
98343,151401
98343,157118
98343,125430
98343,3635
98343,495
98343,116648
98343,1679
98343,123861
98343,89631
98343,113417
98343,145281
98343,10408
98343,3181
98343,40675
98343,95914
98343,155127
98343,124827
98343,16783
98343,122269
98343,87516
98343,106969
98343,10372
98343,66893
98343,75403
98343,143081
98343,44326
98343,95697
98343,48850
98343,59892
98343,159097
98343,63150
98343,90148
98343,78899
98343,30520
98343,54230
98343,90697
141493,36837
141493,30061
141493,54013
141493,157585
141493,62841
141493,105041
141493,1966
141493,80986
141493,87129
141493,151230
141493,17048
141493,65788
141493,64605
141493,91680
141493,84392
141493,141930
141493,79768
141493,83757
141493,109678
141493,37182
141493,134405
141493,103123
141493,66786
141493,144898
141493,24321
141493,87479
141493,17293
141493,50129
141493,50511
141493,8216
141493,108538
141493,105333
141493,134952
141493,60384
141493,150905
141493,113359
141493,53279
141493,73900
141493,9068
141493,133924
141493,49634
141493,54848
141493,147773
141493,42097
141493,73017
141493,79010
141493,18259
141493,111738
141493,55012
141493,5587
141493,138216
141493,131033
141493,41764
141493,129869
141493,96169
141493,155216
141493,131128
141493,34043
141493,52154
141493,34817
141493,64855
141493,135417
141493,359
141493,1956
141493,55541
141493,39517
141493,131812
141493,114046
141493,154601
141493,156488
141493,52906
141493,102843
141493,111532
141493,118951
141493,53087
141493,54642
141493,5240
141493,134332
141493,14671
141493,47687
141493,47048
141493,17255
141493,45772
141493,152100
141493,8872
141493,65630
141493,84308
141493,128440
141493,3493
141493,700
141493,135261
141493,17661
141493,132505
141493,105850
141493,78833
141493,58134
141493,80211
141493,91804
141493,60169
141493,102090
141493,122722
141493,77329
141493,167840
141493,37876
141493,2524
141493,149299
141493,27453
141493,9936
141493,112252
141493,38671
141493,26226
141493,59272
141493,33318
141493,11953
141493,7104
141493,61944
141493,136819
141493,117234
141493,36296
141493,97963
141493,69910
141493,140674
141493,99543
141493,26552
141493,80790
141493,81288
141493,51130
141493,10261
141493,38029
141493,37801
141493,149952
141493,48309
141493,64696
141493,70202
141493,119034
141493,20601
141493,74593
141493,68690
141493,120323
141493,106755
141493,49602
141493,29746
141493,28726
141493,11751
141493,30196
141493,86174
141493,2903
141493,69855
141493,110498
141493,69236
141493,65778
141493,155464
141493,16166
141493,54774
141493,12882
141493,51721
141493,16379
141493,88215
141493,84599
141493,31547
141493,128199
141493,43541
141493,105143
141493,17691
141493,144193
141493,133636
141493,35713
141493,150604
141493,31163
141493,30361
141493,22366
141493,145708
141493,82640
141493,2085
141493,76140
141493,62585
141493,100272
141493,47345
141493,78557
141493,63538
141493,61562
141493,38012
141493,151216
141493,80205
141493,60360
141493,27294
141493,81163
141493,119611
141493,80239
141493,8730
141493,44855
141493,52199
141493,68518
141493,33520
141493,61584
141493,71260
141493,46074
141493,72301
141493,5536
141493,132646
141493,108077
141493,131023
141493,31988
141493,100109
141493,115024
141493,69605
141493,23481
141493,73245
141493,134666
141493,48554
141493,16475
141493,52703
141493,57603
141493,114099
141493,31120
141493,81147
141493,65805
141493,118233
141493,52547
141493,113066
141493,63416
141493,115864
141493,89781
141493,89324
141493,41667
141493,115865
141493,75711
141493,103568
141493,87147
141493,29633
141493,27765
141493,81028
141493,98236
141493,91424
141493,82834
141493,155787
141493,164941
141493,96696
141493,74091
141493,81714
141493,124065
141493,46035
141493,61421
141493,121294
141493,156265
141493,76441
141493,101423
141493,110198
141493,21879
141493,49371
141493,86567
141493,125348
141493,12508
141493,127055
141493,142328
141493,133775
141493,67225
141493,73899
141493,86751
141493,51733
141493,87545
141493,62849
141493,53021
141493,17801
141493,166734
141493,26148
141493,96638
141493,152066
141493,36293
141493,90205
141493,35655
141493,58379
